"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-12",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-13",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-14",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-15",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-16",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-17",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-18",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-22",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-23",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-25",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-26",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-27",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-29",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-30",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-01",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-05",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-06",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-07",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-12",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-13",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-14",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-15",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-16",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-17",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-18",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-19",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-20",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-05-21",,,,
